q_id,topic,query,,,
55,MINIMUM MARGIN,How many MLAs of BSP have victory margin less than five thousand votes in 2017election?,,,
56,MINIMUM MARGIN,How many MLAs of SP have victory margin less than five thousand votes in 2017 election?,,,
57,MAXIMUM CANDIDATES IN A CONSTITUENCY,Which constituency recorded the largest number of candidates in 2022?,,,
58,MAXIMUM CANDIDATES IN A CONSTITUENCY,How many candidates contested in 2022 from Aligarh constituency?,,,
59,MAXIMUM CANDIDATES IN A CONSTITUENCY,Which constituency recorded the largest number of candidates in 2017?,,,
60,MAXIMUM CANDIDATES IN A CONSTITUENCY,How many candidates contested in 2017 from Aligarh constituency?,,,
61,MAXIMUM CANDIDATES IN A CONSTITUENCY,What was the highest margin of victory recorded in the constituency where maximum candidates contested the polls in 2022?,,59129,MOHD. ARSHAD KHAN
62,MAXIMUM CANDIDATES IN A CONSTITUENCY,What was the voter-turnout in constituency with the largest number of candidates?,,,
63,MAXIMUM CANDIDATES IN A CONSTITUENCY,How many candidates lost their deposits from the constituency with maximum candidates in the 2022 elections?,,,
64,MAXIMUM CANDIDATES IN A CONSTITUENCY,How many candidates lost their deposits from the constituency with maximum candidates in the 2017 elections?,,,
65,MINIMUM CANDIDATES IN THE CONSTITUENCY,Which constituency recorded the minimum number of candidates in 2022?,,,
66,MINIMUM CANDIDATES IN THE CONSTITUENCY,How many candidates contested from the constituency where least number of candidates contested the polls in 2022?,,,
67,MINIMUM CANDIDATES IN THE CONSTITUENCY,Which constituency recorded the minimum number of candidates in 2017?,,,
68,MINIMUM CANDIDATES IN THE CONSTITUENCY,How many candidates contested from the constituency where least number of candidates contested the polls in 2017?,,,
69,MINIMUM CANDIDATES IN THE CONSTITUENCY,What was the margin of victory recorded in the constituency where least number of candidates contested the polls in 2022?,,,
70,MINIMUM CANDIDATES IN THE CONSTITUENCY,What was the voter-turnout in a constituency with the least number of candidates 2017?,,,
71,MINIMUM CANDIDATES IN THE CONSTITUENCY,How many candidates lost their deposits from the constituency with least number of candidates in the 2022 elections?,,,
72,MINIMUM CANDIDATES IN THE CONSTITUENCY,How many candidates lost their deposits from the constituency with least number of candidates in the 2017 elections?,,,
73,NUMBER OF CANDIDATES FIELDED BY PROMINENT PARTIES IN ELECTIONS,Number of candidates fielded by the BJP in 2022?,,,
74,NUMBER OF CANDIDATES FIELDED BY PROMINENT PARTIES IN ELECTIONS,Number of candidates fielded by the SP in 2022?,,,
75,NUMBER OF CANDIDATES FIELDED BY PROMINENT PARTIES IN ELECTIONS,Number of candidates fielded by the BSP in 2022?,,,
76,NUMBER OF CANDIDATES FIELDED BY PROMINENT PARTIES IN ELECTIONS,Number of candidates fielded by the Congress in 2022?,,,
77,NUMBER OF CANDIDATES FIELDED BY PROMINENT PARTIES IN ELECTIONS,Number of candidates fielded by the BJP in 2017?,,,
78,NUMBER OF CANDIDATES FIELDED BY PROMINENT PARTIES IN ELECTIONS,How many candidates were Number of candidates fielded by the SP in 2017?,,,
79,NUMBER OF CANDIDATES FIELDED BY PROMINENT PARTIES IN ELECTIONS,How many candidates were fielded by the BSP in 2017?,,,
80,NUMBER OF CANDIDATES FIELDED BY PROMINENT PARTIES IN ELECTIONS,How many candidates were fielded by the Congress in 2017?,,,
81,NUMBER OF CANDIDATES FIELDED BY PROMINENT PARTIES IN ELECTIONS,How many independant candidates contested in 2017?,,,
82,VOTER TURNOUT - URBAN/ RURAL,What is the number of urban constituencies in Uttar Pradesh?,,,
83,VOTER TURNOUT - URBAN/ RURAL,What is the number of rural constituencies in Uttar Pradesh?,,,
84,VOTER TURNOUT - URBAN/ RURAL,What is the percentage of rural electors in the state in 2022 polls?,,,
85,VOTER TURNOUT - URBAN/ RURAL,What is the percentage of urban electors in the state in 2022 polls?,,,
86,VOTER TURNOUT - URBAN/ RURAL,What is the percentage of rural electors in the state in 2017 polls?,,,
87,VOTER TURNOUT - URBAN/ RURAL,What is the percentage of urban electors in the state in 2017 polls?,,,
88,VOTER TURNOUT - URBAN/ RURAL,Can you share the total voter turnout from the rural seats in 2022 polls?,,,
89,VOTER TURNOUT - URBAN/ RURAL,Can you share the total voter turnout from the urban seats in 2022 polls?,,,
90,VOTER TURNOUT - URBAN/ RURAL,Can you share the total voter turnout from the rural seats in 2017 polls?,,,
91,VOTER TURNOUT - URBAN/ RURAL,Can you share the total voter turnout from the urban seats in 2017 polls?,,,
92,VOTER TURNOUT - URBAN/ RURAL,Which urban constituency recorded the highest voter turnout in 2022 polls?,,,
93,VOTER TURNOUT - URBAN/ RURAL,Which rural constituency recorded the highest voter turnout in 2022 polls?,,,
94,VOTER TURNOUT - URBAN/ RURAL,Which urban constituency recorded the lowest voter turnout in 2017 polls?,,,
95,VOTER TURNOUT - URBAN/ RURAL,Which rural constituency recorded the lowest voter turnout in 2017 polls?,,,
96,WOMEN CANDIDATES PERFORMANCE,How many women candidates contested in the 2022 elections?,,,
97,WOMEN CANDIDATES PERFORMANCE,Which party fielded the maximum number of women candidates in 2022 elections?,,,
98,WOMEN CANDIDATES PERFORMANCE,Women candidates from which party won in maximum numbers in 2022 polls?,,,
99,WOMEN CANDIDATES PERFORMANCE,How many women candidates were elected in 2022 elections?,,,
100,WOMEN CANDIDATES PERFORMANCE,What is the percentage women winner over who contested?,,,
101,WOMEN CANDIDATES PERFORMANCE,Which constituency witnessed the highest number of women candidates contesting in 2022 elections?,,,
102,WOMEN CANDIDATES PERFORMANCE,What is the average margin of victory for women candidates in 2022 elections?,,,
103,WOMEN CANDIDATES PERFORMANCE,What is the highest margin of victory among women winners in 2022 elections?,,,
104,WOMEN CANDIDATES PERFORMANCE,Who is the richest women candidates to contest the 2022 elections?,,,
105,WOMEN CANDIDATES PERFORMANCE,Who is the poorest women candidate to contest the 2022 elections?,,,
106,WOMEN CANDIDATES PERFORMANCE,How many women candidates contested in the 2017 elections?,,,
107,WOMEN CANDIDATES PERFORMANCE,How many women candidates were elected in 2017 elections? What is the percentage of the same?,,,
108,WOMEN CANDIDATES PERFORMANCE,Which party fielded the maximum number of women candidates in 2017 elections?,,,
109,WOMEN CANDIDATES PERFORMANCE,Women candidates from which party won in maximum numbers in 2017 polls?,,,
110,WOMEN CANDIDATES PERFORMANCE,Which constituency witnessed the highest number of women candidates contesting in 2017 elections?,,,
111,WOMEN CANDIDATES PERFORMANCE,What is the average margin of victory for women candidates in 2017 elections?,,,
112,WOMEN CANDIDATES PERFORMANCE,What is the highest margin of victory among women winners in 2017 elections?,,,
113,WOMEN CANDIDATES PERFORMANCE,How many men candidates were elected in 2017 elections? What is the percentage of the same?,,,
114,WOMEN CANDIDATES PERFORMANCE,Who is the richest women candidates to contest the 2017 elections?,,,
115,WOMEN CANDIDATES PERFORMANCE,Who is the poorest women candidate to contest the 2017 elections?,,,
116,WOMEN CANDIDATES PERFORMANCE,In which year did the maximum number of women contested in UP elections?,,,
117,MALE TO FEMALE CANDIDATE RATIO,How many male candidates contested in 2022 election?,,,
118,MALE TO FEMALE CANDIDATE RATIO,How many women candidates contested in 2022 election?,,,
119,MALE TO FEMALE CANDIDATE RATIO,How many male candidates contested in 2017 elections?,,,
120,MALE TO FEMALE CANDIDATE RATIO,How many women candidates contested in 2017 election?,,,
121,MALE TO FEMALE CANDIDATE RATIO,Which constituency recorded the highest female candidates in 2022 elections?,,,
122,MALE TO FEMALE CANDIDATE RATIO,Which constituency recorded the highest female candidates in 2017 elections?,,,
123,MALE TO FEMALE CANDIDATE RATIO,From how many constituencies did women contest the polls in 2022?,,,
124,MALE TO FEMALE CANDIDATE RATIO,From how many constituencies did women contest the polls in 2017?,,,
125,ASSEMBLY ELECTION RESULTS TALLY IN DIFFERENT ELECTIONS,How many seats won by BJP in 2022?,,,
126,ASSEMBLY ELECTION RESULTS TALLY IN DIFFERENT ELECTIONS,How many seats did SP win in 2022?,,,
127,ASSEMBLY ELECTION RESULTS TALLY IN DIFFERENT ELECTIONS,How many seats won by BSP in 2022?,,,
128,ASSEMBLY ELECTION RESULTS TALLY IN DIFFERENT ELECTIONS,How many seats won by BJP in 2017?,,,
129,ASSEMBLY ELECTION RESULTS TALLY IN DIFFERENT ELECTIONS,How many seats did SP win in 2027?,,,
130,ASSEMBLY ELECTION RESULTS TALLY IN DIFFERENT ELECTIONS,How many seats won by BSP in 2017?,,,
131,SC CANDIDATES PERFORMANCE,How many SC candidates contested in the 2022 elections?,,,
132,SC CANDIDATES PERFORMANCE,Which party fielded the highest number of SC candidates in 2022 election?,,,
133,SC CANDIDATES PERFORMANCE,Which party has the highest SC winners in 2022 elections? ,,,
134,SC CANDIDATES PERFORMANCE,How many SC candidates won in the 2022 elections? ,,,
135,SC CANDIDATES PERFORMANCE,Which constituency witnessed the highest number of SC candidates contesting in 2022 elections?,,,
136,SC CANDIDATES PERFORMANCE,What is the average margin of victory for winners who are SC in 2022 elections? ,,,
137,SC CANDIDATES PERFORMANCE,What is the highest margin of victory among SC winners in 2022 elections?,,,
138,SC CANDIDATES PERFORMANCE,How many male SC candidates contested in 2022 elections?,,,
139,SC CANDIDATES PERFORMANCE,How many female SC candidates contested  in 2022 elections?,,,
140,SC CANDIDATES PERFORMANCE,Who is the richest SC candidate who won the 2022 elections?,,,
141,SC CANDIDATES PERFORMANCE,Who is the poorest SC candidate who won the 2022 elections?,,,
142,SC CANDIDATES PERFORMANCE,How many SC candidates contested in the 2017 elections?,,,
143,SC CANDIDATES PERFORMANCE,Which party fielded the highest number of SC candidates in 2017 election?,,,
144,SC CANDIDATES PERFORMANCE,Which party has the highest SC winners in 2017 elections? ,,,
145,SC CANDIDATES PERFORMANCE,How many SC candidates won in the 2017 elections? ,,,
146,SC CANDIDATES PERFORMANCE,Which constituency witnessed the highest number of SC candidates contesting in 2017 elections?,,,
147,SC CANDIDATES PERFORMANCE,What is the average margin of victory for winners who are SC in 2017 elections? ,,,
148,SC CANDIDATES PERFORMANCE,What is the highest margin of victory among SC winners in 2017 elections?,,,
149,SC CANDIDATES PERFORMANCE,How many male SC candidates contested in 2017 elections?,,,
150,SC CANDIDATES PERFORMANCE,How many female SC candidates contested  in 2017 elections?,,,
151,SC CANDIDATES PERFORMANCE,Who is the richest SC candidate who won the 2017 elections?,,,
152,SC CANDIDATES PERFORMANCE,Who is the poorest SC candidate who won the 2017 elections?,,,
153,NUMBER OF ELECTORS IN DIFFERENT ELECTIONS,How many electors were there in the 2022 assembly elections?,,,
154,NUMBER OF ELECTORS IN DIFFERENT ELECTIONS,How many electors were there in the 2017 assembly elections?,,,
155,NUMBER OF ELECTORS IN DIFFERENT ELECTIONS,How many electors were there in the 2007 assembly elections?,,,
156,NUMBER OF ELECTORS IN DIFFERENT ELECTIONS,Which constituency had the highest number of voters in 2022?,,,
157,NUMBER OF ELECTORS IN DIFFERENT ELECTIONS,Which constituency had the highest number of voters in 2017?,,,
158,NUMBER OF ELECTORS IN DIFFERENT ELECTIONS,Which constituency had the highest number of voters in 2007?,,,
159,NUMBER OF ELECTORS IN DIFFERENT ELECTIONS,Which constituency had the lowest number of voters in 2022?,,,
160,NUMBER OF ELECTORS IN DIFFERENT ELECTIONS,Which constituency had the lowest number of voters in 2017?,,,
161,NUMBER OF ELECTORS IN DIFFERENT ELECTIONS,Which constituency had the lowest number of voters in 2007?,,,
162,PARTY'S PERFORMANCE,Which party won in the election of 2022?,,,
163,PARTY'S PERFORMANCE,How much votes get by the winning Party ?,,,
164,PARTY'S PERFORMANCE,Top three MLAs who get the highest vote in BJP in 2022 election ?,,,
165,PARTY'S PERFORMANCE,How many women Candidate won from BJP in 2022 election ?,,,
166,PARTY'S PERFORMANCE,How much vote get by BSP  in 2022 election ?,,,
167,PARTY'S PERFORMANCE,Top three MLAs who get the highest vote in BSP in 2022 election ?,,,
168,PARTY'S PERFORMANCE,How many women Candidate won in BSP in 2022 election ?,,,
169,PARTY'S PERFORMANCE,How much vote get by SP  in 2022 election ?,,,
170,PARTY'S PERFORMANCE,who are the top three MLAs who get the highest vote in SP in 2022 election ?,,,
171,PARTY'S PERFORMANCE,How many women Candidate won in SP in 2022 election ?,,,
172,PARTY'S PERFORMANCE,How many candidate won in SP in election 2022 ?,,,
173,PARTY'S PERFORMANCE,How many vote get by Congress  in 2022 election ?,,,
174,PARTY'S PERFORMANCE,Who are the top three MLAs who get the highest vote in Congress in 2022 election ?,,,
175,PARTY'S PERFORMANCE,How many women Candidate won in Congress in 2022 election ?,,,
176,PARTY'S PERFORMANCE,How many candidate won in Congress  in election 2022 ?,,,
