q_id,topic,query,Ground Truth,,
162,PARTY'S PERFORMANCE,Which party won in the election of 2022?,SP,,
163,PARTY'S PERFORMANCE,How much votes get by the winning Party ?,"The winning party received the following number of votes:BJP: 9810249, SP:55898697, INC:40590661, BSP: 29819406, JD: 13425531",,
164,PARTY'S PERFORMANCE,Top three MLAs who get the highest vote in BJP in 2022 election ?,"Top three MLAs who received the highest votes in BJP in the 2022 election are:1. SUNIL KUMAR SHARMA - 322882 votes, 2. Pankaj Singh - 244319 votes, 3. TEJPAL SINGH NAGAR - 218068 votes",,
165,PARTY'S PERFORMANCE,How many women Candidate won from BJP in 2022 election ?,29 women candidates won from BJP in the 2022 election.,,
166,PARTY'S PERFORMANCE,How much vote get by BSP  in 2022 election ?,BSP received 45075 votes in the 2022 election.,,
167,PARTY'S PERFORMANCE,Top three MLAs who get the highest vote in BSP in 2022 election ?,"Top three MLAs who get the highest vote in BSP in 2022 election are PRAVAL PRATAP SINGH with 98679 votes, UMASHANKAR SINGH with 87887 votes, and Dr. Rajesh Singh with 80038 votes.", UMASHANKAR SINGH with 87887 votes, and Dr. Rajesh Singh with 80038 votes.
168,PARTY'S PERFORMANCE,How many women Candidate won in BSP in 2022 election ?,0,,
169,PARTY'S PERFORMANCE,How much vote get by SP  in 2022 election ?,SP received 134513 votes in the 2022 election.,,
170,PARTY'S PERFORMANCE,who are the top three MLAs who get the highest vote in SP in 2022 election ?,"The top three MLAs who received the highest votes in the SP party in the 2022 election are Shivpal Singh Yadav with 159718 votes,  Akhilesh Yadav with 148196 votes  and Mohd Yusuf Ansari with 147602 votes.",,
171,PARTY'S PERFORMANCE,How many women Candidate won in SP in 2022 election ?,14 women candidates won in the SP party in the 2022 election.,,
172,PARTY'S PERFORMANCE,How many candidate won in SP in election 2022 ?,111 candidates won in SP in the 2022 election.,,
173,PARTY'S PERFORMANCE,How many vote get by Congress  in 2022 election ?,2151234,,
174,PARTY'S PERFORMANCE,Who are the top three MLAs who get the highest vote in Congress in 2022 election ?,"The top three MLAs who received the highest votes in Congress in the 2022 election are Virendra Chaudhary with 85181 votes,  Aradhana Mishra with 84334 votes and AJAY KAPOOR with 76351 votes",,
175,PARTY'S PERFORMANCE,How many women Candidate won in Congress in 2022 election ?,1,,
176,PARTY'S PERFORMANCE,How many candidate won in Congress  in election 2022 ?,2 candidates won in Congress in the 2022 election.,,
